user_id,name,email,city,birthdate
9b4bdd04-3fdc-4150-ade6-9da16121b467,Rachid Boujemaa,boujemaa.rachid@inbox.com,Chefchaouen,2005-03-01
ec8a3b19-781b-406d-95d1-26cc9e39f243,Houda Bousfiha,bousfiha.houda@zoho.com,Salé,1968-07-08
54bdb37a-1cdf-45a8-93cf-7a578795287f,Soukaina Chaouki,chaouki.soukaina@yahoo.com,Errachidia,1987-04-12
f491017b-3e65-4d7c-8633-c46ad4f41ab3,Yasmina Bahmad,bahmad.yasmina@mac.com,Taroudant,1955-06-30
d6062ff1-df42-46ab-b50e-bb89d53a3d65,Abdellah Bourkadi,bourkadi.abdellah@att.net,Berkane,1988-03-06
f60f957a-1e59-40c0-97aa-c3d05053a339,Samir Lamrabet,lamrabet.samir@fastmail.com,Settat,1969-03-17
a06a9a61-e669-4b89-aa6b-68d2b2cda747,Najwa Jaafari,jaafari.najwa@gmail.com,Al Hoceima,1987-08-29
baf020a8-d3c7-4df6-b74a-d0c64ef88b6f,Noureddine Bouazza,bouazza.noureddine@hotmail.com,Sidi Kacem,1980-12-29
dc3f835e-8955-494c-a1b4-a7d24fab29bb,Safae Bennani,bennani.safae@zoho.com,Berkane,1945-11-30
5f7ef8e5-b7d6-4df6-85be-ff4c99562641,Imane El Mernissi,el.mernissi.imane@comcast.net,Settat,1988-09-10
68b710ca-f373-4d87-ad01-1837de4f74b7,Tariq Ghallab,ghallab.tariq@hotmail.co.uk,Al Hoceima,1963-03-18
3d3a8eb2-511d-438a-8a47-933cb3a052d4,Mustapha Essafi,essafi.mustapha@gmx.com,Guelmim,1980-06-19
8cefffc3-278f-4586-b677-92b6a754749d,Zakaria Bousfiha,bousfiha.zakaria@comcast.net,Casablanca,1948-09-28
118fea92-e274-4522-9e00-2b0ac0925673,Wafae Bousfiha,bousfiha.wafae@outlook.com,Guelmim,1954-05-15
4257acee-a78f-406f-9c6c-5734519c8bdd,Said Akhannouch,akhannouch.said@me.com,El Jadida,1990-10-06
4c797e08-03d9-4d58-8520-e18b0271ab77,Imane Ouazzani,ouazzani.imane@fastmail.com,Ifrane,1981-12-14
1a9555e9-2bd9-4c65-a160-05bd28fd7944,Hakim Khalfi,khalfi.hakim@protonmail.com,Fes,1963-05-27
e2fa3378-21fa-408e-8447-a9c7ae94c597,Youssef Khalfi,khalfi.youssef@tutanota.com,Oujda,1992-04-24
dd34085b-2125-497c-a9b9-16d8c7e09a87,Ilham Bouazza,bouazza.ilham@icloud.com,Sidi Kacem,1985-06-10
a9e0f13d-7232-4ad7-956c-18a4caa85811,Jamal El Amrani,el.amrani.jamal@mail.com,Marrakech,1947-10-06
a79a044f-1e2e-4b84-9ace-52a25564b856,Salma Ghallab,ghallab.salma@tutanota.com,Kenitra,1981-08-13
2316656c-ef84-4afa-a240-de9224fcf81f,Mohamed Boujemaa,boujemaa.mohamed@tutanota.com,Midelt,1958-12-23
eb0cca4b-4e07-40d5-be25-52f1951edf21,Youssef Maazouzi,maazouzi.youssef@fastmail.com,Oujda,1952-11-15
ea73e6c7-bdb2-4b9b-99c2-f6ad64568017,Tariq Boujemaa,boujemaa.tariq@yahoo.co.uk,Ouarzazate,1975-01-01
cd0b2d38-e1c2-43df-9fd6-2e0529a556db,Safae Kouhen,kouhen.safae@att.net,Larache,1953-07-14
2c7d9a6d-37f2-48aa-bb4b-aaf032e8f21f,Meryem El Mokhtar,el.mokhtar.meryem@hotmail.co.uk,Larache,1958-05-21
10f74ac3-f0dd-48f2-a322-80735aacac86,Mariam Alaoui,alaoui.mariam@zoho.com,Ksar El Kebir,1983-11-28
38073185-3747-48de-9ca8-2486f992edf1,Tariq Kouhen,kouhen.tariq@qq.com,Errachidia,1992-04-10
44db47a2-6130-4698-be84-090fae962beb,Mariam Khalfi,khalfi.mariam@me.com,Khouribga,1946-06-01
f522d2ce-9cd2-4326-9935-8157acba1ad0,Asmae Laamiri,laamiri.asmae@zoho.com,Essaouira,1972-10-12
